Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_344,2,1.004926888,0.773737934,35.25733308,0.367644147,2.918931116,16.73900632,4.739006594,0.610568942,1.560075568,0.305841503,0.8142216,1.479317252,0.525207824,0.421826766,0.423117068,0.843258496
AV_346,2,0.701441741,0.861095371,30.13343693,0.934281404,4.918394626,15.31338006,7.117806732,0.915092066,2.208469116,0.39791112,0.87216583,1.899835266,0.567153792,0.411460909,0.512566721,1.868205743
AV_350,2,0.527555313,0.69832314,38.79561492,0.430611274,5.365514761,23.69202729,7.713141522,0.671412674,1.53713363,0.221968673,0.894630294,1.275238824,0.602591559,0.237531097,0.376267287,0.87472147
AV_354,2,0.677836841,0.851052116,56.89615722,1.134676707,4.784285873,21.70907722,7.087802629,1.138531138,1.65788753,0.570273653,0.849365331,1.397629117,0.632877043,0.203170514,0.314929831,0.851986674
AV_358,2,0.934065315,0.671727713,34.37798495,0.416068645,5.050180818,23.81082363,6.495012352,0.537658481,1.670209839,0.859104711,0.824260471,1.897691153,0.685084872,0.478486408,0.405770666,4.05067398
AV_362,2,0.409753171,0.541195772,40.58369256,0.806219556,1.937496679,26.71578088,5.619203402,0.38787217,0.977561771,0.300030129,0.878216371,1.088481544,0.559340196,0.738857024,0.20776865,0.70685832
AV_365,2,0.907859852,0.831561822,50.63872646,1.681182932,1.572050983,29.13834218,6.578397569,0.587782181,1.373747306,0.74626341,0.829681962,2.147209888,0.582812321,0.770548301,0.260783144,9.585075471
AV_366,2,0.510222104,0.680692767,27.69421926,0.204473965,2.748267263,13.98895348,9.571758266,0.720355034,1.732563233,0.493940855,0.887169612,1.705552714,0.477804876,0.626345945,0.74802153,2.443998536
AV_370,2,0.513094449,0.722340031,28.74541019,0.584930546,19.67424742,10.74089084,5.125918223,1.243061819,1.860522725,0.380985467,0.900838038,1.501806578,0.531573244,0.25344228,0.634119823,1.867236534
AV_374,2,0.629728696,0.757318391,17.41415702,0.214634394,23.56650855,17.17778125,6.151757619,1.606262127,2.467203813,0.859111993,0.852058521,2.311601289,0.509204258,0.349470273,0.452239843,1.033846824
AV_378,2,0.836381277,0.747298335,33.94776863,0.334129697,9.49845077,18.97531792,4.854738632,0.737833891,1.448903884,0.256218308,0.863801806,1.355380604,0.52241845,0.283517461,0.346307831,0.736338917
AV_381,2,1.360421575,0.55750467,38.23746506,1.018008936,11.40213059,17.39888869,4.641670297,0.304348004,1.37137106,0.23916402,0.87199584,1.011937928,0.549019889,0.289675962,0.342462998,0.729174752
AV_384,2,0.360245419,0.522589618,19.42742374,1.655977557,0.804808611,36.56873124,8.103073581,0.299290629,1.394772065,0.55725244,0.836633026,1.137766079,0.605560999,0.265992583,0.178454979,5.426647275
